RA Master,,,,,,,
Level,Operator,Circle,LRN,Model,ROUTING DETAILS,HLR Detail,Sub Level
8766,RELIANCE_CDMA,RJ,3125,CDMA,Please route Through BTSL (AES),HLR1,
8767,RELIANCE_GSM,MB,3138,GSM,Please route Through BTSL (AES),HLR2,
8768,VODAFONE,WB,4124,GSM,Please route Through BTSL (AES),HLR3,
8769,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR2,
8790,AIRTEL,AP,2724,GSM,Please route Through BTSL (AES),HLR2,
8791,TATA_GSM,UW,3402,GSM,Please route Through BTSL (AES),HLR1,
8792,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
8793,TATA_GSM,MH,3281,GSM,Please route Through BTSL (AES),HLR2,
8794,VODAFONE,NE,4190,GSM,Please route Through BTSL (AES),HLR1,
8795,VODAFONE,UE,4104,GSM,Please route Through BTSL (AES),HLR1,
8796,AIRCEL,MH,2106,GSM,Please route Through BTSL (AES),HLR2,
8797,TATA_GSM,BH,3285,GSM,Please route Through BTSL (AES),HLR5,
8798,RELIANCE_CDMA,WB,3129,CDMA,Please route Through BTSL (AES),HLR3,
8799,RELIANCE_CDMA,UE,3127,CDMA,Please route Through BTSL (AES),HLR1,
8800,AIRTEL,DL,2727,GSM,Please route Through BTSL (AES),HLR2,
8801,AIRCEL,AP,2102,GSM,Please route Through BTSL (AES),HLR2,
8802,AIRCEL,DL,2103,GSM,Please route Through BTSL (AES),HLR2,
8803,AIRCEL,JK,3052,GSM,Please route Through BTSL (AES),HLR1,
8804,AIRCEL,BH,3049,GSM,Please route Through BTSL (AES),HLR5,
8805,IDEA,MH,3075,GSM,Please route Through BTSL (AES),HLR2,
8806,VODAFONE,MH,4100,GSM,Please route Through BTSL (AES),HLR2,
8807,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
8808,IDEA,UE,3082,GSM,Please route Through BTSL (AES),HLR1,
8809,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),88090-4 HLR4 & 86585-9 HLR5,
8810,RELIANCE_CDMA,UW,3128,CDMA,Please route Through BTSL (AES),HLR1,
8815,RELIANCE_CDMA,MP,3120,CDMA,Please route Through BTSL (AES),HLR3,
